time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],pr[unit="in"]
2022-11-30T00:00:00Z,31.9555,-109.0744,0.0
2022-12-01T00:00:00Z,31.9555,-109.0744,0.0
2022-12-02T00:00:00Z,31.9555,-109.0744,0.0
2022-12-03T00:00:00Z,31.9555,-109.0744,0.0
2022-12-04T00:00:00Z,31.9555,-109.0744,0.0
2022-12-05T00:00:00Z,31.9555,-109.0744,0.0
2022-12-06T00:00:00Z,31.9555,-109.0744,0.0
2022-12-07T00:00:00Z,31.9555,-109.0744,0.0
2022-12-08T00:00:00Z,31.9555,-109.0744,0.0
2022-12-09T00:00:00Z,31.9555,-109.0744,0.0
2022-12-10T00:00:00Z,31.9555,-109.0744,0.0
2022-12-11T00:00:00Z,31.9555,-109.0744,0.4335435926914215
2022-12-12T00:00:00Z,31.9555,-109.0744,0.0
2022-12-13T00:00:00Z,31.9555,-109.0744,0.0
2022-12-14T00:00:00Z,31.9555,-109.0744,0.0
2022-12-15T00:00:00Z,31.9555,-109.0744,0.0
2022-12-16T00:00:00Z,31.9555,-109.0744,0.0
2022-12-17T00:00:00Z,31.9555,-109.0744,0.0
2022-12-18T00:00:00Z,31.9555,-109.0744,0.0
2022-12-19T00:00:00Z,31.9555,-109.0744,0.15972617268562317
2022-12-20T00:00:00Z,31.9555,-109.0744,0.24652449786663055
2022-12-21T00:00:00Z,31.9555,-109.0744,0.04205629229545593
2022-12-22T00:00:00Z,31.9555,-109.0744,0.0
2022-12-23T00:00:00Z,31.9555,-109.0744,0.0
2022-12-24T00:00:00Z,31.9555,-109.0744,0.0
2022-12-25T00:00:00Z,31.9555,-109.0744,0.0
2022-12-26T00:00:00Z,31.9555,-109.0744,0.0
2022-12-27T00:00:00Z,31.9555,-109.0744,0.0
2022-12-28T00:00:00Z,31.9555,-109.0744,0.0
2022-12-29T00:00:00Z,31.9555,-109.0744,0.0
2022-12-30T00:00:00Z,31.9555,-109.0744,0.0
2022-12-31T00:00:00Z,31.9555,-109.0744,0.15703101456165314
2023-01-01T00:00:00Z,31.9555,-109.0744,0.0
2023-01-02T00:00:00Z,31.9555,-109.0744,0.0
2023-01-03T00:00:00Z,31.9555,-109.0744,0.0
2023-01-04T00:00:00Z,31.9555,-109.0744,0.0
2023-01-05T00:00:00Z,31.9555,-109.0744,0.0
2023-01-06T00:00:00Z,31.9555,-109.0744,0.0
2023-01-07T00:00:00Z,31.9555,-109.0744,0.0
2023-01-08T00:00:00Z,31.9555,-109.0744,0.0
2023-01-09T00:00:00Z,31.9555,-109.0744,0.0
2023-01-10T00:00:00Z,31.9555,-109.0744,0.018764618784189224
2023-01-11T00:00:00Z,31.9555,-109.0744,0.0
2023-01-12T00:00:00Z,31.9555,-109.0744,0.0
2023-01-13T00:00:00Z,31.9555,-109.0744,0.2850920557975769
2023-01-14T00:00:00Z,31.9555,-109.0744,0.026171747595071793
2023-01-15T00:00:00Z,31.9555,-109.0744,0.0
2023-01-16T00:00:00Z,31.9555,-109.0744,0.07621101289987564
2023-01-17T00:00:00Z,31.9555,-109.0744,0.0
2023-01-18T00:00:00Z,31.9555,-109.0744,0.0
2023-01-19T00:00:00Z,31.9555,-109.0744,0.0
2023-01-20T00:00:00Z,31.9555,-109.0744,0.02650095336139202
2023-01-21T00:00:00Z,31.9555,-109.0744,0.1430397778749466
2023-01-22T00:00:00Z,31.9555,-109.0744,0.0
2023-01-23T00:00:00Z,31.9555,-109.0744,0.013332724571228027
2023-01-24T00:00:00Z,31.9555,-109.0744,0.01300351694226265
2023-01-25T00:00:00Z,31.9555,-109.0744,0.0
