time,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tasmean[unit="F"]
2023-02-19T00:00:00Z,31.9555,-109.0744,46.852352142333984
2023-02-20T00:00:00Z,31.9555,-109.0744,47.860347747802734
2023-02-21T00:00:00Z,31.9555,-109.0744,45.41237258911133
2023-02-22T00:00:00Z,31.9555,-109.0744,43.63928985595703
2023-02-23T00:00:00Z,31.9555,-109.0744,51.37932586669922
2023-02-24T00:00:00Z,31.9555,-109.0744,54.853363037109375
2023-02-25T00:00:00Z,31.9555,-109.0744,56.88732147216797
2023-02-26T00:00:00Z,31.9555,-109.0744,57.01333236694336
2023-02-27T00:00:00Z,31.9555,-109.0744,52.758052825927734
2023-02-28T00:00:00Z,31.9555,-109.0744,52.57595443725586
2023-03-01T00:00:00Z,31.9555,-109.0744,54.04296112060547
2023-03-02T00:00:00Z,31.9555,-109.0744,53.790985107421875
2023-03-03T00:00:00Z,31.9555,-109.0744,56.59898376464844
2023-03-04T00:00:00Z,31.9555,-109.0744,55.563961029052734
2023-03-05T00:00:00Z,31.9555,-109.0744,49.353939056396484
2023-03-06T00:00:00Z,31.9555,-109.0744,51.297969818115234
2023-03-07T00:00:00Z,31.9555,-109.0744,56.30196762084961
2023-03-08T00:00:00Z,31.9555,-109.0744,59.09194564819336
2023-03-09T00:00:00Z,31.9555,-109.0744,63.69098663330078
2023-03-10T00:00:00Z,31.9555,-109.0744,64.31193542480469
2023-03-11T00:00:00Z,31.9555,-109.0744,65.38299560546875
2023-03-12T00:00:00Z,31.9555,-109.0744,61.74695587158203
2023-03-13T00:00:00Z,31.9555,-109.0744,57.687950134277344
2023-03-14T00:00:00Z,31.9555,-109.0744,50.34391784667969
2023-03-15T00:00:00Z,31.9555,-109.0744,45.52893829345703
2023-03-16T00:00:00Z,31.9555,-109.0744,53.133949279785156
2023-03-17T00:00:00Z,31.9555,-109.0744,55.85191345214844
2023-03-18T00:00:00Z,31.9555,-109.0744,53.205963134765625
2023-03-19T00:00:00Z,31.9555,-109.0744,54.357994079589844
2023-03-20T00:00:00Z,31.9555,-109.0744,52.719932556152344
2023-03-21T00:00:00Z,31.9555,-109.0744,55.095943450927734
2023-03-22T00:00:00Z,31.9555,-109.0744,59.21795654296875
2023-03-23T00:00:00Z,31.9555,-109.0744,54.96092224121094
2023-03-24T00:00:00Z,31.9555,-109.0744,54.141944885253906
2023-03-25T00:00:00Z,31.9555,-109.0744,49.45292663574219
2023-03-26T00:00:00Z,31.9555,-109.0744,55.18592071533203
2023-03-27T00:00:00Z,31.9555,-109.0744,63.80799102783203
2023-03-28T00:00:00Z,31.9555,-109.0744,54.798980712890625
2023-03-29T00:00:00Z,31.9555,-109.0744,52.87297058105469
2023-03-30T00:00:00Z,31.9555,-109.0744,52.991127014160156
